1 1 2019 16.0 Burger g o l food
3 1 2019 3.7 Beer g o l alcohol
5 1 2019 0.7 Milk g o n food
5 1 2019 1.3 Tomatoes g o n food
5 1 2019 0.66 Cucumber g o n food
5 1 2019 1.2 Water g o n food
6 1 2019 1.37 Cheese g o n food
8 1 2019 0.86 Toast g o n food
9 1 2019 4.80 Cafeteria g o n food
11 1 2019 4.80 Cafeteria g o n food
11 1 2019 1.37 Cheese g o n food
11 1 2019 1.37 Cheese g o n food
11 1 2019 1.37 Cheese g o n food
11 1 2019 1.2 Water g o n food
13 1 2019 4.80 Cafeteria g o n food
15 1 2019 4.80 Cafeteria g o n food
15 1 2019 0.86 Toast g o n food
15 1 2019 1.2 Water g o n food
16 1 2019 4.80 Cafeteria g o n food
16 1 2019 0.8 Coffee g o l food
17 1 2019 16.0 Haircut s o n wellness
17 1 2019 4.80 Cafeteria g o n food
17 1 2019 0.8 Coffee g o l food
18 1 2019 4.80 Cafeteria g o n food
18 1 2019 1.2 Water g o n food
19 1 2019 4.80 Cafeteria g o n food
20 1 2019 1.3 Tomatoes g o n food
20 1 2019 0.66 Cucumber g o n food
23 1 2019 4.80 Cafeteria g o n food
23 1 2019 6.0 Pillow g o l wellness
24 1 2019 4.80 Cafeteria g o n food
24 1 2019 1.2 Water g o n food
25 1 2019 4.80 Cafeteria g o n food
26 1 2019 4.80 Cafeteria g o n food
26 1 2019 1.54 Bread g o n food
27 1 2019 1.3 Tomatoes g o n food
27 1 2019 0.86 Toast g o n food
27 1 2019 1.37 Cheese g o l food
29 1 2019 0.8 Coffee g o l food
29 1 2019 10.0 Pizza g o n food
30 1 2019 0.8 Coffee g o l food
30 1 2019 10.0 Pizza g o n food
30 1 2019 10.0 Pizza g o n food
30 1 2019 1.54 Bread g o n food
30 1 2019 1.37 Cheese g o n food
31 1 2019 4.80 Cafeteria g o n food
31 1 2019 0.8 Coffee g o l food
31 1 2019 400.0 Rent s r n living
1 2 2019 4.80 Cafeteria g o n food
2 2 2019 4.80 Cafeteria g o n food
3 2 2019 1.2 Water g o n food
5 2 2019 4.80 Cafeteria g o n food
5 2 2019 10.0 Pizza g o n food
5 2 2019 0.86 Toast g o n food
5 2 2019 1.54 Bread g o n food
6 2 2019 4.80 Cafeteria g o n food
7 2 2019 4.80 Cafeteria g o n food
8 2 2019 4.80 Cafeteria g o n food
9 2 2019 1.2 Water g o n food
10 2 2019 30.8 Coffee g o l food
12 2 2019 0.7 Milk g o n food
13 2 2019 0.86 Toast g o n food
13 2 2019 1.37 Cheese g o n food
13 2 2019 1.2 Water g o n food
17 2 2019 30.8 Coffee g o l food
19 2 2019 1.54 Bread g o n food
19 2 2019 0.66 Cucumber g o n food
19 2 2019 1.2 Water g o n food
21 2 2019 4.80 Cafeteria g o n food
21 2 2019 11.0 Headphones g o l tech
22 2 2019 4.80 Cafeteria g o n food
23 2 2019 4.80 Cafeteria g o n food
23 2 2019 0.8 Coffee g o l food
26 2 2019 0.8 Coffee g o l food
26 2 2019 4.80 Cafeteria g o n food
26 2 2019 1.54 Bread g o n food
26 2 2019 1.2 Water g o n food
27 2 2019 0.8 Coffee g o l food
27 2 2019 4.80 Cafeteria g o n food
28 2 2019 4.80 Cafeteria g o n food
28 2 2019 6.99 Mug g o l kitchen
28 2 2019 0.8 Coffee g o n food
28 2 2019 0.8 Coffee g o l food
28 2 2019 400.0 Rent s r n living
1 3 2019 0.8 Coffee g o l food
1 3 2019 1.2 Water g o n food
1 3 2019 1.37 Cheese g o n food
2 3 2019 4.80 Cafeteria g o n food
2 3 2019 1.54 Bread g o n food
6 3 2019 0.66 Cucumber g o n food
6 3 2019 1.2 Water g o n food
6 3 2019 4.80 Cafeteria g o n food
7 3 2019 18.0 Haircut s o n wellness
7 3 2019 0.8 Coffee g o l food
7 3 2019 0.86 Toast g o n food
7 3 2019 5.98 Dice g o l gaming
8 3 2019 4.80 Cafeteria g o n food
8 3 2019 0.8 Coffee g o l food
9 3 2019 1.54 Bread g o n food
10 3 2019 1.2 Water g o n food
10 3 2019 1.37 Cheese g o n food
13 3 2019 4.80 Cafeteria g o n food
13 3 2019 0.86 Toast g o n food
13 3 2019 1.37 Cheese g o n food
13 3 2019 9.0 Cinema s o l entertainment
14 3 2019 4.80 Cafeteria g o n food
15 3 2019 4.80 Cafeteria g o n food
16 3 2019 10.0 Pizza g o n food
21 3 2019 0.8 Coffee g o l food
21 3 2019 1.2 Water g o n food
23 3 2019 4.80 Cafeteria g o n food
24 3 2019 1.2 Water g o n food
24 3 2019 0.86 Toast g o n food
24 3 2019 0.66 Cucumber g o n food
24 3 2019 0.7 Milk g o n food
24 3 2019 1.37 Cheese g o n food
24 3 2019 10.99 Netflix s r l entertainment
26 3 2019 10.0 Pizza g o n food
27 3 2019 4.80 Cafeteria g o n food
27 3 2019 1.54 Bread g o n food
29 3 2019 4.80 Cafeteria g o n food
30 3 2019 16.0 Burger g o l food
31 3 2019 400.0 Rent s r n living
